SPY
IVV
VTI
VOO
EFA
VEA
VWO
QQQ
AGG
IEFA
IEMG
IJH
EEM
IWF
IWM
IWD
BND
VTV
IJR
GLD
XLF
VUG
LQD
VNQ
VIG
TIP
BSV
VEU
EWJ
DIA
VO
VB
VCSH
VYM
IVW
XLK
MDY
IWB
VGT
VGK
VCIT
XLE
IWR
DVY
PFF
EZU
XLV
SDY
HYG
BIV
IVE
RSP
SCHF
USMV
XLY
ITOT
XLI
VBR
SCHX
EMB
VV
MBB
VT
SCHB
IAU
SHY
VXUS
CSJ
BNDX
SCZ
IWS
SHV
IXUS
IBB
AMLP
MUB
JNK
IWO
IWN
ACWI
EWZ
EFAV
IWP
VOE
MINT
IEF
IWV
VFH
IJK
MTUM
BKLN
DXJ
XLP
FLOT
SCHD
VHT
GDX
VBK
CIU
IEI
