"Date" "Open" "High" "Low" "Close" "Volume" "Market Cap" "symbol"
"Dec 19, 2017" 66373.8 82284.3 53448.1 68756.9 "28076" "2,787,700" "42_bit"
"Dec 18, 2017" 45875.9 97171 43995.7 66236.9 "30113" "1,926,790" "42_bit"
"Dec 17, 2017" 44292.2 49995.4 41836.6 45847.3 "4801" "1,860,270" "42_bit"
"Dec 16, 2017" 39733.3 46710.1 38132.3 44272.9 "8684" "1,668,800" "42_bit"
"Dec 15, 2017" 37647.3 46212.6 35713.6 39686.6 "9950" "1,581,180" "42_bit"
"Dec 14, 2017" 45087.3 49694.3 34673.4 37616.6 "7828" "1,893,660" "42_bit"
"Dec 13, 2017" 45876.3 58607 42036 45211.9 "13154" "1,926,800" "42_bit"
"Dec 12, 2017" 39723.3 52092.6 36978.2 45769.8 "13693" "1,668,380" "42_bit"
"Dec 11, 2017" 45870.1 48887.4 39535.9 39543.8 "2651" "1,926,540" "42_bit"
"Dec 10, 2017" 58966.1 58966.1 36940.2 46529.7 "13498" "2,476,570" "42_bit"
"Dec 09, 2017" 57089.7 64930.7 51701.3 58737.9 "15985" "2,397,770" "42_bit"
"Dec 08, 2017" 45892.8 63419.5 35639.3 57056.6 "26124" "1,927,490" "42_bit"
"Dec 07, 2017" 28899.3 45597.4 26155.1 45597.4 "18023" "1,213,770" "42_bit"
"Dec 06, 2017" 22519.1 39359.2 22519.1 28929.5 "6964" "945,802" "42_bit"
"Dec 05, 2017" 24220.2 24289.2 22565.9 22565.9 "1010" "1,017,250" "42_bit"
"Dec 04, 2017" 25009.6 26659.8 21281 24175.3 "4335" "1,050,400" "42_bit"
"Dec 03, 2017" 24891.4 26156.2 23606 24957 "3951" "1,045,440" "42_bit"
"Dec 02, 2017" 20856.2 25614.5 20816.8 24882.8 "5852" "875,959" "42_bit"
"Dec 01, 2017" 21681.4 23158.4 18917.4 20873.7 "7491" "910,618" "42_bit"
"Nov 30, 2017" 21537.1 22689.8 18246.3 21796.2 "8708" "904,557" "42_bit"
"Nov 29, 2017" 19758.1 22103.2 18092 21249.8 "6191" "829,841" "42_bit"
"Nov 28, 2017" 19690.4 23457.1 18605.9 19763.8 "5558" "826,995" "42_bit"
"Nov 27, 2017" 17281.8 21702.1 16826.8 19649.5 "12730" "725,836" "42_bit"
"Nov 26, 2017" 17142.5 18278.8 17123.7 17278 "655" "719,985" "42_bit"
"Nov 25, 2017" 15594.6 17158.1 15478.2 17158.1 "2334" "654,974" "42_bit"
"Nov 24, 2017" 14242.2 16525.4 14110.4 15626.2 "6427" "598,174" "42_bit"
"Nov 23, 2017" 15205.3 16296.7 14286.9 14286.9 "7492" "638,622" "42_bit"
"Nov 22, 2017" 13081.2 14641.5 12527.1 14641.5 "10008" "549,410" "42_bit"
"Nov 21, 2017" 13162.7 13246.8 12473 13058.2 "636" "552,834" "42_bit"
"Nov 20, 2017" 12475.5 13227.9 12038.1 13162.5 "1248" "523,972" "42_bit"
"Nov 19, 2017" 11886.9 13444.2 11321.5 12481.2 "1977" "499,249" "42_bit"
"Nov 18, 2017" 11183.6 13481.6 9642.34 11906.4 "3677" "469,713" "42_bit"
"Nov 17, 2017" 10886.3 11889.1 10816.4 11225.9 "73" "457,224" "42_bit"
"Nov 16, 2017" 11869.6 11895.7 9844.39 10906.1 "370" "498,521" "42_bit"
"Nov 15, 2017" 10405.3 12076.6 10405.3 11818.3 "1512" "437,022" "42_bit"
"Nov 14, 2017" 10620.9 10940.4 9349.64 10396.6 "793" "446,077" "42_bit"
"Nov 13, 2017" 9738.85 10943.4 9704.03 10602.6 "598" "409,032" "42_bit"
